"dataEmissao","tipoDespesa","valorLiq"
"26/09","ASSINATURA DE PUBLICAÇÕES",706.8
"27/09","ASSINATURA DE PUBLICAÇÕES",337.76
"28/09","ASSINATURA DE PUBLICAÇÕES",699.61
"30/09","ASSINATURA DE PUBLICAÇÕES",95.9
"01/10","ASSINATURA DE PUBLICAÇÕES",58.5
"02/10","ASSINATURA DE PUBLICAÇÕES",803.54
"03/10","ASSINATURA DE PUBLICAÇÕES",2111.2
"04/10","ASSINATURA DE PUBLICAÇÕES",1816.96
"05/10","ASSINATURA DE PUBLICAÇÕES",796.02
"06/10","ASSINATURA DE PUBLICAÇÕES",2030.28
"08/10","ASSINATURA DE PUBLICAÇÕES",181.57
